time_step_list,predicted_pH_list,reward_list,actual_pH_list,predicted_online_pH,fallvol,metalvol
3107.0,10.092095936317378,0,10.4952812194824,10.49672,1.0,1.0
3111.0,10.092095936317378,0,10.4890251159668,10.54316,1.0,1.0
3115.0,10.092095936317378,0,10.501537322998,10.50487,1.0,1.0
3119.0,10.096533256873649,0,10.5346775054932,10.592023,1.0,1.0
3123.0,10.092095936317378,0,10.5766105651855,10.544287,1.0,1.0
3127.0,10.092095936317378,0,10.6201725006104,10.50173,1.0,1.0
3131.0,10.092095936317378,0,10.6641960144043,10.507769,1.0,1.0
3135.0,10.092095936317378,0,10.705904006958,10.502554,1.0,1.0
3139.0,10.092095936317378,0,10.7205009460449,10.543866,1.0,1.0
3143.0,10.092095936317378,0,10.6725378036499,10.543358,1.0,1.0
3147.0,10.092095936317378,0,10.5974645614624,10.526878,1.0,1.0
3151.0,10.092095936317378,0,10.5474157333374,10.544324,1.0,1.0
3155.0,10.096533256873649,0,10.551586151123,10.579996,1.0,1.0
3159.0,10.092095936317378,0,10.5891227722168,10.512888,1.0,1.0
3163.0,10.096533256873649,0,10.6329154968262,10.5611105,1.0,1.0
3167.0,10.096533256873649,0,10.6767082214355,10.561784,1.0,1.0
3171.0,10.092095936317378,0,10.7184162139893,10.544974,1.0,1.0
3175.0,10.080391917071324,0,10.7309284210205,10.5460825,1.0,1.0
3179.0,10.080391917071324,0,10.6725378036499,10.516888,1.0,1.0
3183.0,10.084829237627595,0,10.5640983581543,10.562648,1.0,1.0
3187.0,10.080391917071324,0,10.4723424911499,10.5196495,1.0,1.0
3191.0,10.084829237627595,0,10.4076957702637,10.562831,1.0,1.0
3195.0,10.080391917071324,0,10.3159399032593,10.546782,1.0,1.0
3199.0,10.080391917071324,0,10.2346105575562,10.546071,1.0,1.0
3203.0,10.084829237627595,0,10.1949882507324,10.56287,1.0,1.0
3207.0,10.080391917071324,0,10.2158422470093,10.53118,1.0,1.0
3211.0,10.080391917071324,0,10.3201103210449,10.546571,1.0,1.0
3215.0,10.080391917071324,0,10.4765129089355,10.532493,1.0,1.0
3219.0,10.080391917071324,0,10.6454277038574,10.529493,1.0,1.0
3223.0,10.084829237627595,0,10.7997455596924,10.580208,1.0,1.0
3227.0,10.080391917071324,0,10.9186115264893,10.532943,1.0,1.0
3231.0,10.080391917071324,0,10.9832582473755,10.5321,1.0,1.0
3235.0,10.080391917071324,0,10.9853439331055,10.536791,1.0,1.0
3239.0,10.080391917071324,0,10.9373798370361,10.53667,1.0,1.0
3243.0,10.080391917071324,0,10.8435382843018,10.535479,1.0,1.0
3247.0,10.080391917071324,0,10.7371845245361,10.53734,1.0,1.0
3251.0,10.084829237627595,0,10.6662817001343,10.565445,1.0,1.0
3255.0,10.080391917071324,0,10.6350011825562,10.540494,1.0,1.0
3259.0,10.084829237627595,0,10.6350011825562,10.565739,1.0,1.0
3263.0,10.080391917071324,0,10.6431102752686,10.542605,1.0,1.0
