time_step_list,predicted_pH_list,reward_list,actual_pH_list,predicted_online_pH,fallvol,metalvol
2228.0,10.569864369550027,79.68368530273438,11.0521926879883,11.074181,2.0,2.0
2232.0,10.569864369550027,81.06966018676758,11.0438461303711,11.088987,3.0,3.0
2236.0,10.569864369550027,79.99129295349121,11.0289840698242,11.093913,3.2,3.2
2240.0,10.569864369550027,79.03470993041992,11.0248107910156,11.075296,3.6,4.0
2244.0,10.569864369550027,80.7229995727539,11.0371999740601,11.095634,4.4,4.2
2248.0,10.569864369550027,79.20117378234863,11.0601491928101,11.073266,5.0,4.8
2252.0,10.569864369550027,80.20281791687012,11.0893573760986,11.102454,5.2,5.0
2256.0,10.569864369550027,80.78055381774902,11.1352558135986,11.098769,5.8,5.2
2260.0,10.569864369550027,80.69968223571777,11.1686363220215,11.093337,6.8,6.2
2264.0,10.569864369550027,79.07223701477051,11.2103633880615,11.075742,7.2,6.8
2268.0,10.569864369550027,-123.47269058227539,11.2500028610229,11.096998,7.4,7.8
2272.0,10.569864369550027,-122.88503646850586,11.2747650146484,11.088762,8.0,8.8
2276.0,10.569864369550027,-123.6581802368164,11.2724056243896,11.087109,8.4,9.4
2280.0,10.569864369550027,-123.18172454833984,11.2455577850342,11.08033,8.8,10.4
2284.0,10.569864369550027,-123.18048477172852,11.2014808654785,11.07015,9.0,11.200000000000001
2288.0,10.569864369550027,-124.84931945800781,11.1409854888916,11.075588,9.6,12.000000000000002
2292.0,10.569864369550027,-125.10318756103516,11.0679740905762,11.072571,10.0,12.600000000000001
2296.0,10.569864369550027,-125.09641647338867,10.9699306488037,11.07551,11.0,12.8
2300.0,10.569864369550027,-125.0889778137207,10.8426818847656,11.061621,11.4,13.600000000000001
2304.0,10.569864369550027,-124.7091293334961,10.6924877166748,11.066681,11.8,14.200000000000001
2308.0,10.569864369550027,-122.67513275146484,10.5026578903198,11.080849,12.200000000000001,14.4
2312.0,10.569864369550027,-125.9371280670166,10.3316020965576,11.067794,13.200000000000001,15.0
2316.0,10.569864369550027,-126.51309967041016,10.2168703079224,11.06913,14.200000000000001,15.8
2320.0,10.569864369550027,-125.08025169372559,10.1793222427368,11.062158,14.4,16.6
2324.0,10.569864369550027,-127.23894119262695,10.2836236953735,11.059057,15.200000000000001,17.6
2328.0,10.569864369550027,-150.2340793609619,10.4609375,10.968551,15.8,18.0
2332.0,10.569864369550027,-155.10244369506836,10.6483306884766,10.85869,16.2,18.8
2336.0,10.569864369550027,-156.27856254577637,10.8151969909668,10.936486,16.599999999999998,19.6
2340.0,10.569864369550027,-147.65257835388184,10.9570341110229,10.984704,17.4,19.8
2344.0,10.569864369550027,-166.85800552368164,11.0717554092407,10.995111,17.799999999999997,20.8
2348.0,10.569864369550027,-159.3787670135498,11.1635322570801,10.86649,18.599999999999998,21.6
2352.0,10.569864369550027,-147.30281829833984,11.2219352722168,10.905106,19.599999999999998,21.8
2356.0,10.504648820335662,-150.57024955749512,11.2594804763794,10.773572,20.4,22.2
2360.0,10.569864369550027,-137.67313957214355,11.2761669158936,10.891839,20.599999999999998,22.4
2364.0,10.569864369550027,-160.69583892822266,11.2699098587036,10.850201,21.2,23.4
2368.0,10.504648820335662,-151.76610946655273,11.236536026001,10.777712,21.599999999999998,24.4
2372.0,10.558160350303973,-135.94002723693848,11.1820373535156,10.78963,22.4,24.599999999999998
2376.0,10.558160350303973,-139.24603462219238,11.1150312423706,10.8287,23.4,24.999999999999996
2380.0,10.558160350303973,-140.14081954956055,11.0336933135986,10.836935,23.599999999999998,25.799999999999997
2384.0,10.558160350303973,-134.67350006103516,10.9315013885498,10.807369,23.999999999999996,26.4
2388.0,10.558160350303973,73.86350631713867,10.8209657669067,10.836527,24.799999999999997,27.0
2392.0,10.558160350303973,73.0125904083252,10.7437992095947,10.812089,25.799999999999997,27.8
2396.0,10.558160350303973,78.77531051635742,10.7020883560181,10.850668,26.799999999999997,28.400000000000002
2400.0,10.558160350303973,67.02737808227539,10.706259727478,10.823706,26.999999999999996,28.8
2404.0,10.558160350303973,66.26725196838379,10.7271156311035,10.808503,27.199999999999996,29.2
2408.0,10.558160350303973,81.97650909423828,10.7500562667847,10.858597,27.999999999999996,29.4
2412.0,10.558160350303973,73.9555835723877,10.8543348312378,10.845845,28.399999999999995,30.2
2416.0,10.558160350303973,82.38964080810547,10.9982395172119,10.885418,29.199999999999996,31.0
2420.0,10.558160350303973,89.33730125427246,11.1254596710205,10.882445,30.199999999999996,32.0
2424.0,10.558160350303973,74.39737319946289,11.2255668640137,10.873983,30.399999999999995,32.8
2428.0,10.558160350303973,80.09028434753418,11.2902183532715,10.883796,30.799999999999994,33.599999999999994
2432.0,10.569864369550027,97.08991050720215,11.3277587890625,10.911956,31.799999999999994,34.39999999999999
2436.0,10.569864369550027,92.41056442260742,11.3402729034424,10.933287,32.599999999999994,34.99999999999999
2440.0,10.558160350303973,94.14587020874023,11.3215026855469,10.971674,33.599999999999994,35.599999999999994
2444.0,10.558160350303973,90.88120460510254,11.2818765640259,10.970201,34.39999999999999,36.39999999999999
2448.0,10.558160350303973,78.53913307189941,11.2297372817993,10.982053,34.599999999999994,36.599999999999994
2452.0,10.558160350303973,93.44754219055176,11.1671705245972,11.013574,35.599999999999994,37.599999999999994
2456.0,10.558160350303973,80.70564270019531,11.0900039672852,11.015007,35.99999999999999,38.39999999999999
2460.0,10.558160350303973,76.41515731811523,11.0003242492676,10.996183,36.599999999999994,39.19999999999999
2464.0,10.558160350303973,-125.66776275634766,10.9043884277344,11.011917,37.39999999999999,39.79999999999999
2468.0,10.558160350303973,-126.15108489990234,10.8063669204712,11.008297,37.599999999999994,40.59999999999999
2472.0,10.569864369550027,-127.05197334289551,10.7417144775391,11.001113,38.39999999999999,41.59999999999999
2476.0,10.558160350303973,-125.66061019897461,10.7208585739136,10.995104,38.99999999999999,41.79999999999999
2480.0,10.569864369550027,-127.2000789642334,10.7771682739258,10.9936495,39.199999999999996,42.79999999999999
2484.0,10.569864369550027,-125.51212310791016,10.8686866760254,11.001736,39.99999999999999,42.99999999999999
2488.0,10.569864369550027,-126.00269317626953,10.9210729598999,11.00375,40.199999999999996,43.599999999999994
2492.0,10.569864369550027,-125.25629997253418,11.0149230957031,11.005574,40.99999999999999,43.8
2496.0,10.569864369550027,-127.19330787658691,11.0795764923096,10.996112,41.39999999999999,44.8
2500.0,10.569864369550027,-126.9308090209961,11.1210250854492,11.002068,42.39999999999999,45.8
2504.0,10.558160350303973,-126.77092552185059,11.1648187637329,10.987718,42.599999999999994,46.4
2508.0,10.569864369550027,-125.49033164978027,11.2026252746582,10.998834,42.8,46.6
2512.0,10.569864369550027,-126.397705078125,11.2252960205078,10.997337,43.599999999999994,47.2
2516.0,10.558160350303973,-126.0660171508789,11.2273817062378,10.996685,44.39999999999999,47.6
2520.0,10.558160350303973,-126.68766975402832,11.2002716064453,10.997985,44.99999999999999,48.4
2524.0,10.569864369550027,-127.10256576538086,11.1543912887573,10.975458,45.39999999999999,48.8
2528.0,10.569864369550027,-126.3467788696289,11.1021242141724,10.986168,46.39999999999999,49.0
2532.0,10.569864369550027,-127.75521278381348,11.0730590820313,10.976634,46.79999999999999,49.8
2536.0,10.569864369550027,-127.83098220825195,11.05637550354,10.98601,47.19999999999999,50.8
2540.0,10.569864369550027,-128.2926082611084,11.0566349029541,10.978513,47.79999999999999,51.8
2544.0,10.569864369550027,-127.53915786743164,11.060546875,10.972353,48.59999999999999,52.4
2548.0,10.569864369550027,-126.14946365356445,11.0708436965942,10.988874,49.399999999999984,53.199999999999996
2552.0,10.569864369550027,-128.36885452270508,11.0854415893555,10.969568,49.79999999999998,54.199999999999996
2556.0,10.569864369550027,-126.61986351013184,11.1004314422607,10.979333,50.59999999999998,54.8
2560.0,10.569864369550027,-128.35559844970703,11.1147680282593,10.96949,50.79999999999998,55.8
2564.0,10.569864369550027,74.91745948791504,11.1272811889648,10.987344,51.79999999999998,56.4
2568.0,10.569864369550027,-127.2005558013916,11.1335372924805,10.98212,52.19999999999998,57.4
2572.0,10.569864369550027,-127.5881290435791,11.1417465209961,10.962447,52.79999999999998,58.199999999999996
2576.0,10.569864369550027,73.7119197845459,11.1543912887573,10.96989,53.19999999999998,58.4
2580.0,10.533784880399175,74.28579330444336,11.160514831543,10.982817,54.19999999999998,59.199999999999996
2584.0,10.533784880399175,-126.83744430541992,11.158429145813,10.964815,55.19999999999998,59.99999999999999
2588.0,10.522080861153121,-127.38471031188965,11.1564769744873,10.983129,55.59999999999998,60.99999999999999
2592.0,10.519070701127934,74.27301406860352,11.1108598709106,10.976725,56.39999999999998,61.39999999999999
2596.0,10.519070701127934,-126.16662979125977,11.0086669921875,10.978384,57.39999999999998,62.19999999999999
2600.0,10.519070701127934,-126.30715370178223,10.9270792007446,10.982535,58.199999999999974,62.999999999999986
2604.0,10.519070701127934,73.46124649047852,10.8814468383789,10.967585,59.199999999999974,63.79999999999998
2608.0,10.519070701127934,-127.55289077758789,10.8707723617554,10.974672,59.59999999999997,64.59999999999998
2612.0,10.519070701127934,73.23088645935059,10.8685626983643,10.95922,60.59999999999997,65.39999999999998
2616.0,10.519070701127934,73.31318855285645,10.8707723617554,10.96037,61.59999999999997,65.99999999999997
2620.0,10.519070701127934,-127.02469825744629,10.8853702545166,10.967345,62.59999999999997,66.79999999999997
2624.0,10.519070701127934,-127.96363830566406,10.906099319458,10.972523,62.99999999999997,67.79999999999997
2628.0,10.519070701127934,-127.20322608947754,10.9206972122192,10.961581,63.99999999999997,68.59999999999997
2632.0,10.519070701127934,-126.08938217163086,10.9352951049805,10.983248,64.79999999999997,69.19999999999996
2636.0,10.517625931078527,73.81858825683594,10.9498920440674,10.972061,65.79999999999997,69.79999999999995
2640.0,10.517625931078527,-128.53522300720215,10.9665756225586,10.960443,66.19999999999997,70.79999999999995
2644.0,10.517625931078527,73.85525703430176,10.9790878295898,10.973348,66.79999999999997,71.19999999999996
2648.0,10.517625931078527,-127.38022804260254,10.9957704544067,10.976066,67.39999999999996,72.19999999999996
2652.0,10.567259615561996,-127.52065658569336,11.008282661438,10.964197,67.99999999999996,72.99999999999996
2656.0,10.567259615561996,73.80638122558594,11.0228805541992,10.972389,68.59999999999995,73.39999999999996
2660.0,10.57896363480805,74.15924072265625,11.0395631790161,10.977634,68.99999999999996,73.59999999999997
2664.0,10.57896363480805,-126.64451599121094,11.0541610717773,10.983112,69.79999999999995,74.59999999999997
2668.0,10.57896363480805,-127.0815372467041,11.0666732788086,10.97296,70.39999999999995,75.39999999999996
2672.0,10.57896363480805,73.98924827575684,11.0645875930786,10.975989,70.99999999999994,75.79999999999997
2676.0,10.57896363480805,74.27964210510254,11.060417175293,10.981435,71.59999999999994,76.19999999999997
2680.0,10.57896363480805,73.57854843139648,11.058331489563,10.966021,71.99999999999994,76.39999999999998
2684.0,10.57896363480805,-127.78449058532715,11.0770998001099,10.972177,72.59999999999994,77.39999999999998
2688.0,10.57896363480805,74.08313751220703,11.1021242141724,10.979851,73.19999999999993,77.79999999999998
2692.0,10.57896363480805,-127.57863998413086,11.1229782104492,10.971525,73.39999999999993,78.39999999999998
2696.0,10.57896363480805,73.85149002075195,11.1396608352661,10.962343,74.19999999999993,78.59999999999998
2700.0,10.57896363480805,74.31278228759766,11.1459169387817,10.974754,74.79999999999993,78.79999999999998
2704.0,10.57896363480805,74.03807640075684,11.1542587280273,10.978969,75.39999999999992,79.19999999999999
2708.0,10.57896363480805,74.92470741271973,11.1481351852417,10.972783,76.39999999999992,79.39999999999999
2712.0,10.567259615561996,-127.12998390197754,11.108380317688,10.972297,76.79999999999993,79.99999999999999
2716.0,10.567259615561996,74.10755157470703,11.0645875930786,10.980358,77.39999999999992,80.39999999999999
2720.0,10.567259615561996,-127.73361206054688,10.9957704544067,10.958431,77.59999999999992,80.8
2724.0,10.567259615561996,-127.16350555419922,10.9227828979492,10.959343,77.79999999999993,81.0
2728.0,10.567259615561996,73.73189926147461,10.860221862793,10.972807,78.39999999999992,81.4
2732.0,10.567259615561996,72.9182243347168,10.8351974487305,10.956686,78.99999999999991,81.80000000000001
2736.0,10.567259615561996,73.64339828491211,10.8289413452148,10.971018,79.59999999999991,82.20000000000002
2740.0,10.567259615561996,74.35035705566406,10.8414535522461,10.9781,80.3999999999999,82.60000000000002
2744.0,10.567259615561996,74.41654205322266,10.8873310089111,10.982723,80.9999999999999,83.00000000000003
2748.0,10.567259615561996,74.59473609924316,10.956148147583,10.984933,81.5999999999999,83.40000000000003
2752.0,10.567259615561996,-127.69980430603027,11.0270509719849,10.958058,81.7999999999999,83.80000000000004
2756.0,10.567259615561996,-127.02765464782715,11.0750141143799,10.961526,81.9999999999999,84.00000000000004
2760.0,10.567259615561996,74.98106956481934,11.106294631958,10.972575,82.9999999999999,84.20000000000005
2764.0,10.567259615561996,-126.86357498168945,11.1229782104492,10.977873,83.7999999999999,85.20000000000005
2768.0,10.567259615561996,73.75755310058594,11.1334047317505,10.972347,84.39999999999989,85.60000000000005
2772.0,10.567259615561996,-128.1926155090332,11.1480026245117,10.968439,84.7999999999999,86.60000000000005
2776.0,10.567259615561996,75.54516792297363,11.158429145813,10.987271,85.5999999999999,86.80000000000005
2780.0,10.567259615561996,74.31139945983887,11.158429145813,10.981116,86.19999999999989,87.20000000000006
2784.0,10.567259615561996,74.18546676635742,11.1417465209961,10.979284,86.79999999999988,87.60000000000007
2788.0,10.567259615561996,74.32284355163574,11.106294631958,10.982051,87.39999999999988,88.00000000000007
2792.0,10.567259615561996,73.59986305236816,11.0541610717773,10.968125,87.99999999999987,88.40000000000008
2796.0,10.567259615561996,73.1745719909668,10.9936847686768,10.957941,88.59999999999987,88.80000000000008
2800.0,10.567259615561996,73.81014823913574,10.9332094192505,10.972331,89.19999999999986,89.20000000000009
2804.0,10.567259615561996,73.38409423828125,10.8935871124268,10.963848,89.79999999999986,89.6000000000001
2808.0,10.567259615561996,73.51951599121094,10.8810749053955,10.966518,90.39999999999985,90.0000000000001
2812.0,10.567259615561996,-126.75294876098633,10.8831605911255,10.966677,90.59999999999985,90.2000000000001
2816.0,10.567259615561996,-127.52461433410645,10.8935871124268,10.951243,90.79999999999986,90.4000000000001
2820.0,10.567259615561996,73.61431121826172,10.906099319458,10.968395,91.39999999999985,90.80000000000011
2824.0,10.567259615561996,74.26924705505371,10.9165267944336,10.965167,92.19999999999985,91.00000000000011
2828.0,10.567259615561996,-127.38146781921387,10.9311237335205,10.959294,92.99999999999984,91.80000000000011
2832.0,10.567259615561996,73.5044002532959,10.9457216262817,10.966216,93.59999999999984,92.20000000000012
2836.0,10.567259615561996,74.22690391540527,10.958233833313,10.980113,94.19999999999983,92.60000000000012
2840.0,10.567259615561996,-125.7955551147461,10.9707460403442,10.991432,94.99999999999983,93.40000000000012
2844.0,10.567259615561996,73.53711128234863,10.9811725616455,10.966908,95.59999999999982,93.80000000000013
2848.0,10.567259615561996,73.80990982055664,10.9957704544067,10.966719,96.59999999999982,94.40000000000012
2852.0,10.567259615561996,73.9842414855957,11.010368347168,10.97423,97.19999999999982,94.80000000000013
2856.0,10.567259615561996,75.3633975982666,11.0228805541992,10.97614,98.19999999999982,95.00000000000013
2860.0,10.567259615561996,74.11231994628906,11.0307064056396,10.976753,98.79999999999981,95.40000000000013
2864.0,10.57896363480805,73.58922958374023,11.0411319732666,10.967913,99.3999999999998,95.80000000000014
2868.0,10.57896363480805,74.26228523254395,11.0473871231079,10.979714,99.9999999999998,96.20000000000014
2872.0,10.558937644258005,74.19323921203613,11.0598983764648,10.978295,100.5999999999998,96.60000000000015
2876.0,10.558937644258005,-126.63617134094238,11.0708436965942,10.978015,100.7999999999998,97.00000000000016
2880.0,10.558937644258005,-126.24020576477051,11.0833559036255,10.9817,101.7999999999998,98.00000000000016
2884.0,10.558937644258005,73.62871170043945,11.0875263214111,10.967062,102.39999999999979,98.40000000000016
2888.0,10.558937644258005,-127.58355140686035,11.0979537963867,10.9790945,102.7999999999998,99.40000000000016
2892.0,10.558937644258005,74.32341575622559,11.1042098999023,10.979659,103.1999999999998,99.60000000000016
2896.0,10.558937644258005,-126.40042304992676,11.1125507354736,10.975921,103.7999999999998,100.20000000000016
2900.0,10.558937644258005,74.4713306427002,11.1208925247192,10.983933,104.39999999999979,100.60000000000016
2904.0,10.558937644258005,74.12185668945312,11.1292343139648,10.976906,104.99999999999979,101.00000000000017
2908.0,10.558937644258005,74.61175918579102,11.1397933959961,10.979551,105.99999999999979,101.60000000000016
2912.0,10.558937644258005,73.52924346923828,11.1460494995117,10.962898,106.59999999999978,102.00000000000017
2916.0,10.558937644258005,-126.57732963562012,11.1546573638916,10.97078,107.59999999999978,103.00000000000017
2920.0,10.558937644258005,-126.46698951721191,11.1525707244873,10.97457,108.39999999999978,103.80000000000017
2924.0,10.558937644258005,74.58577156066895,11.1275444030762,10.97371,109.39999999999978,104.40000000000016
2928.0,10.558937644258005,73.68936538696289,11.0795764923096,10.964766,109.99999999999977,104.80000000000017
2932.0,10.558937644258005,75.6235122680664,11.027437210083,10.97707,110.79999999999977,105.00000000000017
2936.0,10.558937644258005,74.55353736877441,10.989896774292,10.98697,111.19999999999978,105.20000000000017
2940.0,10.558937644258005,75.29106140136719,10.9690408706665,10.981331,111.99999999999977,105.60000000000018
2944.0,10.558937644258005,74.02429580688477,10.9606990814209,10.977301,112.39999999999978,106.00000000000018
2948.0,10.558937644258005,74.52383041381836,10.9606990814209,10.975943,112.99999999999977,106.40000000000019
2952.0,10.558937644258005,-125.96030235290527,10.9606990814209,10.984647,113.79999999999977,107.40000000000019
2956.0,10.558937644258005,74.87678527832031,10.9732122421265,10.97522,114.39999999999976,107.8000000000002
2960.0,10.558937644258005,74.45416450500488,10.985725402832,10.97453,114.99999999999976,108.2000000000002
2964.0,10.558937644258005,74.99842643737793,10.9982395172119,10.977672,115.59999999999975,108.60000000000021
2968.0,10.558937644258005,-125.73251724243164,11.0065813064575,10.988058,116.19999999999975,109.4000000000002
2972.0,10.558937644258005,75.62384605407715,11.0149230957031,10.9848585,117.19999999999975,109.60000000000021
2976.0,10.558937644258005,-126.00131034851074,11.0211811065674,10.992543,117.59999999999975,110.60000000000021
2980.0,10.558937644258005,74.79376792907715,11.0336933135986,10.989295,118.19999999999975,111.00000000000021
2984.0,10.558937644258005,74.23887252807617,11.0462074279785,10.979799,118.79999999999974,111.40000000000022
2988.0,10.558937644258005,74.80320930480957,11.0545501708984,10.982846,119.59999999999974,112.20000000000022
2992.0,10.558937644258005,-125.97150802612305,11.0587205886841,10.99312,119.99999999999974,113.20000000000022
2996.0,10.558937644258005,-126.16019248962402,11.0670623779297,10.984235,120.59999999999974,114.00000000000021
3000.0,10.558937644258005,74.22347068786621,11.0733203887939,10.97951,121.19999999999973,114.40000000000022
3004.0,10.558937644258005,74.26776885986328,11.0816621780396,10.985069,121.39999999999974,114.60000000000022
3008.0,10.558937644258005,74.66311454772949,11.0879192352295,10.987617,121.99999999999973,115.00000000000023
3012.0,10.558937644258005,74.84803199768066,11.0941753387451,10.988683,122.59999999999972,115.40000000000023
3016.0,10.558937644258005,-126.06620788574219,11.1046028137207,10.993134,122.99999999999973,116.40000000000023
